"","md_date","year","fishery_status","orcas_sighted","md_date_for","date","sighting"
"130","6-Jul",2023,"closed","no","07/06",2023-07-06,"no"
"131","7-Jul",2023,"closed","no","07/07",2023-07-07,"no"
"132","8-Jul",2023,"closed","no","07/08",2023-07-08,"no"
"133","9-Jul",2023,"closed","no","07/09",2023-07-09,"no"
"134","10-Jul",2023,"closed","no","07/10",2023-07-10,"no"
"135","11-Jul",2023,"closed","no","07/11",2023-07-11,"no"
"136","12-Jul",2023,"closed","no","07/12",2023-07-12,"no"
"137","13-Jul",2023,"open","no","07/13",2023-07-13,"no"
"138","14-Jul",2023,"open","no","07/14",2023-07-14,"no"
"139","15-Jul",2023,"open","no","07/15",2023-07-15,"no"
"140","16-Jul",2023,"closed","no","07/16",2023-07-16,"no"
"141","17-Jul",2023,"closed","no","07/17",2023-07-17,"no"
"142","18-Jul",2023,"closed","no","07/18",2023-07-18,"no"
"143","19-Jul",2023,"closed","no","07/19",2023-07-19,"no"
"144","20-Jul",2023,"closed","no","07/20",2023-07-20,"no"
"145","21-Jul",2023,"open","no","07/21",2023-07-21,"no"
"146","22-Jul",2023,"closed","no","07/22",2023-07-22,"no"
"147","23-Jul",2023,"closed","no","07/23",2023-07-23,"no"
"148","24-Jul",2023,"closed","no","07/24",2023-07-24,"no"
"149","25-Jul",2023,"closed","no","07/25",2023-07-25,"no"
"150","26-Jul",2023,"closed","no","07/26",2023-07-26,"no"
"151","27-Jul",2023,"closed","no","07/27",2023-07-27,"no"
"152","28-Jul",2023,"open","no","07/28",2023-07-28,"no"
"153","29-Jul",2023,"open","no","07/29",2023-07-29,"no"
"154","30-Jul",2023,"closed","no","07/30",2023-07-30,"no"
"155","31-Jul",2023,"closed","no","07/31",2023-07-31,"no"
"156","1-Aug",2023,"closed","no","08/01",2023-08-01,"no"
"157","2-Aug",2023,"closed","no","08/02",2023-08-02,"no"
"158","3-Aug",2023,"closed","no","08/03",2023-08-03,"no"
"159","4-Aug",2023,"closed","no","08/04",2023-08-04,"no"
"160","5-Aug",2023,"closed","no","08/05",2023-08-05,"no"
"161","6-Aug",2023,"closed","no","08/06",2023-08-06,"no"
"162","7-Aug",2023,"closed","no","08/07",2023-08-07,"no"
"163","8-Aug",2023,"closed","no","08/08",2023-08-08,"no"
"164","9-Aug",2023,"closed","yes","08/09",2023-08-09,"no"
"165","10-Aug",2023,"closed","no","08/10",2023-08-10,"no"
"166","11-Aug",2023,"closed","no","08/11",2023-08-11,"no"
"167","12-Aug",2023,"closed","no","08/12",2023-08-12,"no"
"168","13-Aug",2023,"closed","no","08/13",2023-08-13,"no"
"169","14-Aug",2023,"closed","no","08/14",2023-08-14,"no"
"170","15-Aug",2023,"closed","no","08/15",2023-08-15,"no"
"171","16-Aug",2023,"closed","no","08/16",2023-08-16,"no"
"172","17-Aug",2023,"closed","yes","08/17",2023-08-17,"no"
"173","18-Aug",2023,"closed","yes","08/18",2023-08-18,"no"
"174","19-Aug",2023,"closed","yes","08/19",2023-08-19,"no"
"175","20-Aug",2023,"closed","yes","08/20",2023-08-20,"no"
"176","21-Aug",2023,"closed","yes","08/21",2023-08-21,"no"
"177","22-Aug",2023,"closed","no","08/22",2023-08-22,"no"
"178","23-Aug",2023,"closed","no","08/23",2023-08-23,"no"
"179","24-Aug",2023,"closed","no","08/24",2023-08-24,"no"
"180","25-Aug",2023,"closed","no","08/25",2023-08-25,"no"
"181","26-Aug",2023,"closed","no","08/26",2023-08-26,"no"
"182","27-Aug",2023,"closed","no","08/27",2023-08-27,"no"
"183","28-Aug",2023,"closed","no","08/28",2023-08-28,"no"
"184","29-Aug",2023,"closed","no","08/29",2023-08-29,"no"
"185","30-Aug",2023,"closed","no","08/30",2023-08-30,"no"
"186","31-Aug",2023,"closed","no","08/31",2023-08-31,"no"
