data-start,time,data-today,latitude,longitude,data-geopoint_test-altitude,data-geopoint_test-accuracy,data-select_country,data-datetime_test,data-select_soundwatchvessel,data-Boat_Driver,data-vessel,data-action,data-kayak_num,data-incidents,,data-select_previous,data-photos,data-photo_number,data-select_whaleinfo,data-species,data-select_pod,data-whaleinformation,data-select_behavior,data-changeinbehavior,data-select_wwf,data-vesselswwf,data-select_kayakwwf,data-sentinel,data-Comments,data-initials,data-meta-instanceID
9/2/2022,14:12,2/9/2022,49.0094142,-123.207163,-14.16310664,6.323,Canda,2/9/22 14:13,Raydiance,Jess,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,3,kayakwwf_na,,,Mab,uuid:05ed6f6b-4875-4330-b9f8-4b13e0fe6d9d
9/2/2022,14:19,2/9/2022,49.0156103,-123.213654,-13.83684876,5.775,Canda,2/9/22 14:19,Raydiance,Jess,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,3,kayakwwf_na,,,Mab,uuid:c51adedd-69f6-46e9-96d1-bc51a6c24cb6
9/2/2022,14:31,2/9/2022,49.0224464,-123.233505,-16.02268522,4.564,Canda,2/9/22 14:32,Raydiance,Jess,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,3,kayakwwf_na,Research_Monitoring,"Attempted to flag down, vessel did not slow",Ceo,uuid:8d922829-ad07-431d-9ae5-c29905312882
9/2/2022,15:17,2/9/2022,49.0305273,-123.2581075,-13.87949277,4.834,Canda,2/9/22 15:17,Raydiance,Jess,PM,T,,high_speed_within_1km,high speed within 1km,contact_yes,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,3,kayakwwf_na,,,Ceo,uuid:d7b34b66-ccfd-448f-916f-7b61f3fa8d8f
9/2/2022,15:34,2/9/2022,49.0334255,-123.265529,-16.248356,5.271,Canda,2/9/22 15:35,Raydiance,Jess,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,2,kayakwwf_na,,,Ceo,uuid:40199ef9-820f-46e7-9687-cd479b9bbbd7
9/2/2022,15:38,2/9/2022,49.0324379,-123.2690441,-16.51923691,5.267,Canda,2/9/22 15:38,Raydiance,Jess,MY,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_y,1 spyhop,wwf_n,1,kayakwwf_na,,BC ferries Coastal Renaissance,Ceo,uuid:2976b6e2-19ae-4629-9f08-2acd6c25a4f9
9/3/2022,13:39,3/9/2022,48.7557904,-123.0738273,-19.02191736,4.38,Canda,3/9/22 13:39,Raydiance,Alanna,MX,T,,"high_speed_within_1km, 400yd_inthepath","high speed within 1km, 400yd inthepath",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,2,kayakwwf_na,,,Ceo,uuid:987b6383-6606-4f25-b942-142c5d31c1be
9/3/2022,14:02,3/9/2022,48.7414069,-123.1036483,-18.71078769,4.329,Canda,3/9/22 14:03,Raydiance,Alanna,GD,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_y,2,kayakwwf_na,,Whale protection unit,Ceo,uuid:b7c1deb0-a111-44ca-a6dc-40ee0f988e3e
9/3/2022,15:19,3/9/2022,48.6735216,-123.2442887,-23.98960354,4.904,USA,3/9/22 15:19,Raydiance,Alanna,MF,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,2,kayakwwf_na,Research_Monitoring,"Lovey Joann, previously spoke to straitwatch",Ceo,uuid:e6cb6529-03a9-41e6-a07d-516a44bcb54a
9/4/2022,12:17,4/9/2022,48.4515392,-123.0491714,-19.98443647,5.076,USA,4/9/22 12:17,Raydiance,Alanna,PM,T,0,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_unk,,wwf_n,3,kayakwwf_na,Research_Monitoring,Emerald Eel,CPM,uuid:1ea0ea6f-c3b7-484a-8b56-f82af21a0ffa
9/4/2022,12:20,4/9/2022,48.4554332,-123.0498801,-18.15187225,4.75,USA,4/9/22 12:20,Raydiance,Alanna,PM,WO,,"400yd_inthepath, shutdown_within300yds","400yd inthepath, shutdown within300yds",contact_yes,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,3,kayakwwf_na,Research_Monitoring,Our Serenity,CPM,uuid:cebd6716-1d9e-46ad-89a0-fea3e9d7862d
9/4/2022,12:22,4/9/2022,48.4579704,-123.0512698,-17.96916757,6.169,USA,4/9/22 12:22,Raydiance,Alanna,PM,F,,"400yd_inthepath, fishing_within200yds, 300_yards_under_power","400yd inthepath, fishing within200yds, 300 yards under power",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_unk,,wwf_n,3,kayakwwf_na,,,CPM,uuid:74581f5f-621a-49e0-b836-cf6292946057
9/4/2022,12:40,4/9/2022,48.4686091,-123.0630119,-14.98292996,6.541,USA,4/9/22 12:40,Raydiance,Alanna,PM,F,,fishing_within200yds,fishing within200yds,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_unk,,wwf_n,3,kayakwwf_na,,,CPM,uuid:e2ec7c65-a74b-44d7-8fab-f782cf82c0b7
9/4/2022,12:45,4/9/2022,48.47071,-123.0743392,-16.23347555,5.556,USA,4/9/22 12:46,Raydiance,Alanna,PM,WO,0,"400yd_inthepath, no_go_zone, high_speed_within_1km, fast_departurewithin400yds","400yd inthepath, no go zone, high speed within 1km, fast departurewithin400yds",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_unk,,wwf_n,2,kayakwwf_na,Research_Monitoring,,CPM,uuid:e0b9f9d9-ba72-4260-a239-9e8538b814a5
9/4/2022,13:46,4/9/2022,48.4949685,-123.1457912,-15.67776779,8.945,USA,4/9/22 13:46,Raydiance,Alanna,PM,WO,0,"400yd_inthepath, no_go_zone, travel_behind100_400yds, 300_yards_under_power","400yd inthepath, no go zone, travel behind100 400yds, 300 yards under power",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,2,kayakwwf_na,Research_Monitoring,,CPM,uuid:58aef55b-9868-4aa6-afa9-741f4d5823a0
9/4/2022,13:59,4/9/2022,48.4919915,-123.1276783,-17.28326826,4.785,USA,4/9/22 13:59,Raydiance,Alanna,PM,F,0,"400yd_inthepath, no_go_zone, fishing_within200yds","400yd inthepath, no go zone, fishing within200yds",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_unk,,wwf_n,1,kayakwwf_na,,,CPM,uuid:746788a4-87da-4b9d-9b09-48b80d9544e9
9/4/2022,14:00,4/9/2022,48.4917194,-123.126375,-17.73745586,6.562,USA,4/9/22 14:00,Raydiance,Alanna,PM,WO,0,"400yd_inthepath, shutdown_within300yds, no_go_zone","400yd inthepath, shutdown within300yds, no go zone",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_unk,,wwf_n,1,kayakwwf_na,,,CPM,uuid:f1347e98-ae7b-4683-944b-fb285cc86b8c
9/4/2022,14:06,4/9/2022,48.491903,-123.1240653,-16.21821264,4.571,USA,4/9/22 14:07,Raydiance,Alanna,PM,WO,0,"400yd_inthepath, 300_yards_under_power","400yd inthepath, 300 yards under power",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_unk,,wwf_n,1,kayakwwf_na,Research_Monitoring,,CPM,uuid:bfad8d34-de0f-4ab6-9aa0-c80342e48019
9/4/2022,14:14,4/9/2022,48.4903661,-123.118217,-5.699999809,8.341,USA,4/9/22 14:14,Raydiance,Alanna,PM,F,,"400yd_inthepath, no_go_zone, fishing_within200yds, fishing_within100yds, 100_yards_under_power, 200_yards_under_power","400yd inthepath, no go zone, fishing within200yds, fishing within100yds, 100 yards under power, 200 yards under power",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,1,kayakwwf_na,Research_Monitoring,,CPM,uuid:f1e0af08-6d34-4246-bc0c-d5c8b2054076
9/4/2022,14:22,4/9/2022,48.4880526,-123.1083612,-5.699999809,7.389,USA,4/9/22 14:22,Raydiance,Alanna,PM,WO,,"100_yards_under_power, no_go_zone, 300_yards_under_power, 200_yards_under_power, 400yd_inthepath","100 yards under power, no go zone, 300 yards under power, 200 yards under power, 400yd inthepath",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,1,kayakwwf_na,,San Juan Explorer,CPM,uuid:699fb8b7-a224-4515-946f-7079f29cd79d
