start,end,today,geopoint_test:Latitude,geopoint_test:Longitude,geopoint_test:Altitude,geopoint_test:Accuracy,datetime_test,select_soundwatchvessel,Boat_Driver,vessel,action,kayak_num,incidents,ODK conversion,select_previous,select_photo,select_whaleinfo,whaleinformation,select_behavior,changeinbehavior,select_wwf,vesselswwf,select_kayakwwf,Comments,initials,meta:instanceID
Fri Aug 16 19:14:44 UTC 2019,Fri Aug 16 19:21:20 UTC 2019,Fri Aug 16 00:00:00 UTC 2019,48.47422833,-123.0895817,-7.099999905,3.9,Fri Aug 16 19:14:00 UTC 2019,Raydiance,Jess,PM,WO,,100_yards_under_power 300_yards_under_power 400yd_inthepath,100 yards under power,contact_no,photo_y,whaleinfo_y,J pid,behavior_n,,wwf_n,2,,,Kw,uuid:b25e2448-7c68-4732-b466-6ad9484ae20b
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Fri Aug 16 20:05:16 UTC 2019,Fri Aug 16 20:06:27 UTC 2019,Fri Aug 16 00:00:00 UTC 2019,48.49381167,-123.1461983,-7.099999905,3.9,Fri Aug 16 20:05:00 UTC 2019,Raydiance,Jess,PM,T,,withinhalfmile_Limekiln,withinhalfmile Limekiln,contact_no,photo_n,whaleinfo_y,J pod,behavior_n,,wwf_n,1,kayakwwf_y,2 voats,Kw,uuid:f9469182-62bd-4b65-9264-0f21e7d3839d
Fri Aug 16 21:42:38 UTC 2019,Fri Aug 16 21:43:23 UTC 2019,Fri Aug 16 00:00:00 UTC 2019,48.492685,-123.1421317,-8.399999619,3.9,Fri Aug 16 21:42:00 UTC 2019,Raydiance,Jess,PM,T,,300_yards_under_power,300 yards under power,contact_no,photo_n,whaleinfo_y,J pod,behavior_n,,wwf_n,1,,,Kw,uuid:eb74322e-0835-4c91-80b1-8a47940169d6
Fri Aug 16 21:45:23 UTC 2019,Fri Aug 16 21:46:59 UTC 2019,Fri Aug 16 00:00:00 UTC 2019,48.494165,-123.1413033,-8.399999619,3.9,Fri Aug 16 21:45:00 UTC 2019,Raydiance,Jess,PM,T,,300_yards_under_power,300 yards under power,contact_no,photo_n,whaleinfo_y,J pod,behavior_n,,wwf_n,1,kayakwwf_n,"HOSTILE when contacted, sea dancer seattle",Kw,uuid:ab252c61-3a78-4d03-bcce-62fa186aaa59
Fri Aug 16 21:54:23 UTC 2019,Fri Aug 16 21:55:12 UTC 2019,Fri Aug 16 00:00:00 UTC 2019,48.50380167,-123.1592183,-9.199999809,3.9,Fri Aug 16 21:54:00 UTC 2019,Raydiance,Jeds,PM,WO,,200_yards_under_power 300_yards_under_power,200 yards under power,contact_no,photo_y,whaleinfo_y,J pod,behavior_n,,wwf_n,1,,,Kw,uuid:c744f131-1014-45b3-b572-6d7ab5ec8f00
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
Fri Aug 16 22:22:39 UTC 2019,Fri Aug 16 22:23:29 UTC 2019,Fri Aug 16 00:00:00 UTC 2019,48.5248,-123.18562,-9.199999809,3.9,Fri Aug 16 22:22:00 UTC 2019,Raydiance,Jess,PM,T,,300_yards_under_power,300 yards under power,contact_yes,photo_y,whaleinfo_y,J pod,behavior_n,,wwf_n,1,,Sun dancer seattle,Kw,uuid:12cc9f29-07a8-4416-a60a-6ae4ca28ac7e
Sat Aug 17 18:49:54 UTC 2019,Sat Aug 17 18:50:53 UTC 2019,Sat Aug 17 00:00:00 UTC 2019,48.46785,-123.0837017,-1,3.9,Sat Aug 17 18:49:00 UTC 2019,Raydiance,Tay,PM,WO,,300_yards_under_power 400yd_inthepath,300 yards under power,contact_no,photo_n,whaleinfo_y,J pod,,,wwf_n,4,,,Kw,uuid:157487db-29b2-4722-bb99-668a2e4813b6
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Sat Aug 17 18:50:56 UTC 2019,Sat Aug 17 18:51:41 UTC 2019,Sat Aug 17 00:00:00 UTC 2019,48.46863167,-123.083315,-1,3.9,Sat Aug 17 18:51:00 UTC 2019,Raydiance,Taylir,PS,WO,,300_yards_under_power 400yd_inthepath,300 yards under power,contact_no,photo_n,whaleinfo_y,J pod,behavior_unk,,wwf_n,4,,,Kw,uuid:2ec6493f-e659-4eac-9157-8d7f74f75e93
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Sat Aug 17 19:39:39 UTC 2019,Sat Aug 17 19:40:47 UTC 2019,Sat Aug 17 00:00:00 UTC 2019,48.46146667,-123.07281,-1,3.9,Sat Aug 17 19:39:00 UTC 2019,Raydiance,Tay,PM,WO,,300_yards_under_power,300 yards under power,contact_no,photo_y,whaleinfo_y,J pod,,,wwf_n,3,,,Kw,uuid:18e92e25-321d-4d6e-ac46-8ac4c1589bda
Sat Aug 17 20:02:13 UTC 2019,Sat Aug 17 20:02:53 UTC 2019,Sat Aug 17 00:00:00 UTC 2019,48.44561,-123.052395,-1.100000024,3.9,Sat Aug 17 20:02:00 UTC 2019,Raydiance,Taylot,PM,T,,high_speed_within_1km no_go_zone,high speed within 1km,contact_yes,photo_n,whaleinfo_y,J pod,,,wwf_n,2,,,Kw,uuid:80ea0388-5e4a-4363-baaa-0a9d70aaeef3
,,,,,,,,,,,,,,no go zone,,,,,,,,,,,,
Sat Aug 17 20:05:18 UTC 2019,Sat Aug 17 20:06:09 UTC 2019,Sat Aug 17 00:00:00 UTC 2019,48.444665,-123.05042,-1.100000024,3.9,Sat Aug 17 20:05:00 UTC 2019,Raydiance,Taylor,PM,WO,,300_yards_under_power 400yd_inthepath,300 yards under power,contact_no,photo_n,whaleinfo_y,J ppd,,,wwf_n,3,,,Kw,uuid:6c7b0f91-65fe-4165-839e-182eae74d974
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
