start,end,today,geopoint_test:Latitude,geopoint_test:Longitude,geopoint_test:Altitude,geopoint_test:Accuracy,datetime_test,vessel,action,kayak_num,incidents,ODK conversion,select_photo,whaleinfo:whaleinfoYN,whaleinfo:whaleinfoY:whaleID,whaleinfo:whaleinfoY:Idphoto,whaleinfo:whaleinfoY:behavior,whaleinfo:whaleinfoY:behaviorchange,vesselwhaleflag,num_VWF,kayaklandflag,Initials,Comments,meta:instanceID
Sat Jul 14 21:13:28 UTC 2018,Sat Jul 14 21:14:12 UTC 2018,Sat Jul 14 00:00:00 UTC 2018,48.4502476,-123.0523565,-7.900000095,10,Sat Jul 14 21:13:00 UTC 2018,PM,T,,high_speed_within_400 400yd_inthepath,high speed within 400,photo_y,info_yes,"J,k pods",photo_y,behavior_n,,vwf_n,1,,DKA,,uuid:8ad91c05-b49d-4e96-a0f1-5d5b05e00cc7
,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Sat Jul 14 21:14:16 UTC 2018,Sat Jul 14 21:14:57 UTC 2018,Sat Jul 14 00:00:00 UTC 2018,48.4490366,-123.0526911,-8,10,Sat Jul 14 21:14:00 UTC 2018,PM,T,,high_speed_within_400 200_yards_under_power Fast_withinquartermile_whales,high speed within 400,photo_y,info_yes,"J,k",photo_n,behavior_n,,vwf_n,1,,DKA,,uuid:d49403d2-fbe3-4462-94ac-bdd9bcb8fac1
,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,Fast withinquartermile whales,,,,,,,,,,,,
Sun Jul 15 17:12:20 UTC 2018,Sun Jul 15 17:15:43 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.518275,-123.161795,-2.2,10,Sun Jul 15 17:12:00 UTC 2018,PM,T,,high_speed_within_400 200_yards_under_power 400yd_inthepath no_go_zone withinhalfmile_Limekiln Fast_withinquartermile_whales fast_departurewithin400yds travel_behind100_400yds,high speed within 400,photo_n,info_yes,J pod,photo_n,behavior_y,Took Deep dives,vwf_n,2,klf_n,LMY,"Tried to contact, waved us off",uuid:6b94bbe3-36e0-4393-9356-199075e4f06f
,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,no go zone,,,,,,,,,,,,
,,,,,,,,,,,,withinhalfmile Limekiln,,,,,,,,,,,,
,,,,,,,,,,,,Fast withinquartermile whales,,,,,,,,,,,,
,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
,,,,,,,,,,,,travel behind100 400yds,,,,,,,,,,,,
Sun Jul 15 17:29:30 UTC 2018,Sun Jul 15 17:36:11 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.5298696,-123.1675665,-18.7,10,Sun Jul 15 17:29:00 UTC 2018,PM,T,,400yd_inthepath no_go_zone shutdown_within200yds,400yd inthepath,photo_y,info_yes,J pod one male 3 females,photo_y,behavior_y,"Surfaced, swam around boat dived to other side",vwf_n,2,klf_n,LMY,,uuid:6ba80edf-065a-47e5-8cb4-cb841ca757eb
,,,,,,,,,,,,no go zone,,,,,,,,,,,,
,,,,,,,,,,,,shutdown within200yds,,,,,,,,,,,,
Sun Jul 15 17:45:01 UTC 2018,Sun Jul 15 17:47:11 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.528445,-123.1693183,-5.8,10,Sun Jul 15 17:45:00 UTC 2018,EC,WO,,no_go_zone,no go zone,photo_y,info_yes,J pod,photo_n,behavior_n,,vwf_n,3,klf_n,LMY,Explorathor,uuid:41a14aa4-8343-4814-80f9-e0a68a4d5470
Sun Jul 15 17:47:14 UTC 2018,Sun Jul 15 17:48:14 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.5294418,-123.1694095,4.2,10,Sun Jul 15 17:47:00 UTC 2018,PM,WO,,no_go_zone,no go zone,photo_y,info_yes,J pod,photo_n,behavior_n,,vwf_n,3,klf_n,LMY,,uuid:8977aa16-32d4-4d46-9722-5c52a8bd82e0
